Sample,Condition,Sex,Week,BodyWeight,IVSd,LVIDd,LVPWd,LVIDs,EF,FS,IVRT,A.durr,E.durr,Ea.Aa
EQ5-E4,Rapa,F,12,,,,,,,,,,,
EQ5-F1,Control,F,12,,,,,,,,,,,
EQ5-F2,Control,F,12,,,,,,,,,,,
EQ5-F3,Control,F,12,,,,,,,,,,,
EQ5-F4,Control,F,12,,,,,,,,,,,
EQ5-G1,Control,F,12,,,,,,,,,,,
EQ5-G2,Control,F,12,25.6,0.4,3.8,0.4,2.1,83.58,45.24,48,16,0,0.86
EQ5-G3,Control,F,12,30.6,0.4,4,0.5,2.3,81.66,43.18,48,8,8,0.92
EQ5-H1,Rapa,F,12,31.8,0.5,4.1,0.4,2.5,78.4,40,44,8,0,1.09
EQ5-H2,Rapa,F,12,26.3,0.4,3.7,0.5,2.1,82.35,43.9,52,12,8,1.16
EQ5-H3,Rapa,F,12,34.7,0.5,3.9,0.5,2.1,84.7,46.51,48,8,4,1.31
EQ5-I1,Pers,F,12,31.6,0.3,4.2,0.5,2.4,81.94,43.48,56,12,8,1.14
EQ5-I2,Pers,F,12,24.1,0.4,3.5,0.5,1.8,85.42,47.37,40,8,8,1.21
EQ5-I3,Pers,F,12,27.2,0.4,3.8,0.4,2.2,81.34,42.86,52,8,0,1.15
EQ5-J1,Rapa,F,12,,,,,,,,,,,
EQ5-J2,Rapa,F,12,,,,,,,,,,,
EQ5-J3,Rapa,F,12,,,,,,,,,,,
EQ5-J4,Rapa,F,12,,,,,,,,,,,
EQ5-K1,Control,F,12,,,,,,,,,,,
EQ5-K2,Control,F,12,28.6,0.5,4.1,0.6,2.4,80.71,42.22,44,16,8,1.03
EQ5-K3,Control,F,12,30.1,0.4,3.9,0.4,2,83.31,48.84,52,8,8,0.97
EQ5-K4,Control,F,12,26,0.4,4.2,0.4,2.3,83.95,45.65,48,4,8,0.88
EQ5-L1,Control,F,12,31.1,0.5,4.5,0.5,2.6,79.27,40.82,44,12,0,1.03
EQ5-L2,Control,F,12,33.9,0.4,3.7,0.5,2,84.55,46.34,48,8,4,0.94
EQ5-L3,Control,F,12,28.2,0.4,4.4,0.4,2.3,85.87,47.92,44,12,0,1.07
EQ5-M1,Rapa,F,12,34.2,0.3,3.1,0.5,1.4,91.41,55.88,44,8,4,1.24
EQ5-M2,Rapa,F,12,27.1,0.4,3.9,0.5,2.1,84.7,46.51,48,4,12,1.19
EQ5-N1,Pers,F,12,27.4,0.4,4.1,0.5,2.2,84.83,46.67,52,8,0,1.13
EQ5-N2,Pers,F,12,29.7,0.5,4.3,0.5,2.6,76.51,38.3,60,12,12,1.13
EQ5-N3,Pers,F,12,30.8,,,,,,,,,,
EQ5-N4,Pers,F,12,32.1,0.5,4,0.5,2.5,76.89,38.64,52,8,0,1.21
EQ5-O1,Rapa,F,12,25.5,0.4,4.8,0.4,2.8,79.99,41.51,56,8,0,1.21
EQ5-O2,Rapa,F,12,33.4,0.4,3.9,0.4,2,86.61,48.84,52,8,12,1.22
EQ5-O3,Rapa,F,12,30.7,0.5,3.7,0.4,2.1,82.35,43.9,56,0,4,1.15
EQ5-O4,Rapa,F,12,26.9,0.5,4.3,0.4,2.7,73.99,36.17,52,12,8,1.29
EQ5-P1,Rapa,F,12,,,,,,,,,,,
EQ5-P2,Rapa,F,12,27.5,0.5,4.1,0.5,2.6,73.24,35.56,48,8,0,1.31
EQ5-P3,Rapa,F,12,,,,,,,,,,,
EQ5-Q1,Control,F,12,33.2,0.4,3.7,0.5,2,84.55,46.34,48,8,4,1.06
EQ5-Q2,Control,F,12,,,,,,,,,,,
EQ5-Q3,Control,F,12,28.2,0.5,4.1,0.5,2.3,82.85,44.44,52,4,8,1.03
EQ5-Q4,Control,F,12,35.5,0.4,4.4,0.5,2.2,87.5,50,56,4,12,1.04
EQ5-Q5,Control,F,12,,,,,,,,,,,
EQ5-R1,Pers,F,12,28.8,0.5,4,0.5,2.2,83.77,45.45,52,4,4,1.1
EQ5-R2,Pers,F,12,26.8,0.4,3.6,0.5,1.8,86.51,48.72,44,8,0,1.21
EQ5-R3,Pers,F,12,33.9,0.4,3.9,0.5,2.1,84.7,46.51,60,4,4,1.05
EQ5-R4,Pers,F,12,27.9,0.4,4,0.4,2.4,79.37,40.91,48,8,0,1.26
EQ5-R5,Pers,F,12,25.8,0.4,4.1,0.5,2.3,82.85,44.44,44,4,8,1.21
EQ5-S1,Pers,F,12,27.6,0.4,3.8,0.5,2.1,83.58,45.24,44,12,0,1.16
EQ5-S2,Pers,F,12,31.7,0.4,4.7,0.5,2.6,81.61,43.14,48,8,0,1.27
EQ5-S3,Pers,F,12,29.9,0.5,4.4,0.5,2.7,75.59,37.5,48,8,0,1.19
EQ5-T1,Rapa,F,12,27.1,0.4,4.5,0.4,2.6,79.27,40.82,48,12,0,1.19
EQ5-T2,Rapa,F,12,29.1,0.4,4.1,0.3,2.4,80.71,42.22,48,8,4,1.2
EQ5-T3,Rapa,F,12,,,,,,,,,,,
EQ5-A1,Control,F,16,31.3,0.5,3.9,0.5,2.3,80.35,41.86,56,4,0,1
EQ5-A2,Control,F,16,,,,,,,,,,,
EQ5-A3,Control,F,16,28.1,0.3,4.3,0.5,2.2,86.69,48.94,48,12,4,1.04
EQ5-B1,Rapa,F,16,33.2,0.5,3.9,0.5,2,86.61,48.84,40,12,0,1.15
EQ5-B2,Rapa,F,16,,,,,,,,,,,
EQ5-B3,Rapa,F,16,30.5,0.5,3.4,0.5,1.7,86.46,48.65,44,8,0,1.175
EQ5-C1,Pers,F,16,30.5,0.4,3.9,0.4,2,86.61,48.84,52,12,0,1.24
EQ5-C2,Pers,F,16,32.1,0.4,3.2,0.4,1.6,88.54,51.43,48,8,0,1.07
EQ5-C3,Pers,F,16,36.7,0.4,4.1,0.4,2.2,84.83,46.67,52,8,4,1.14
EQ5-D1,Control,F,16,,,,,,,,,,,
EQ5-D2,Control,F,16,,,,,,,,,,,
EQ5-D3,Control,F,16,,,,,,,,,,,
EQ5-D4,Control,F,16,,,,,,,,,,,
EQ5-E1,Rapa,F,16,,,,,,,,,,,
EQ5-E2,Rapa,F,16,,,,,,,,,,,
EQ5-E3,Rapa,F,16,,,,,,,,,,,
EQ5-E4,Rapa,F,16,,,,,,,,,,,
EQ5-F1,Control,F,16,,,,,,,,,,,
EQ5-F2,Control,F,16,,,,,,,,,,,
EQ5-F3,Control,F,16,,,,,,,,,,,
EQ5-F4,Control,F,16,,,,,,,,,,,
EQ5-G1,Control,F,16,,,,,,,,,,,
EQ5-G2,Control,F,16,26.7,0.3,3.3,0.5,1.7,85.3,47.22,52,16,4,0.87
EQ5-G3,Control,F,16,31.6,0.3,4.2,0.5,2.6,74.94,36.96,52,8,8,0.93
EQ5-H1,Rapa,F,16,27.9,0.3,4.2,0.4,2.4,81.94,43.48,52,16,0,1.19
EQ5-H2,Rapa,F,16,26,0.5,3.3,0.4,1.9,80.15,41.67,52,16,16,1.15
EQ5-H3,Rapa,F,16,32.5,0.3,4.1,0.5,2.3,82.85,44.44,52,8,0,1.27
EQ5-I1,Pers,F,16,31.3,0.4,1.3,0.4,2.5,81.04,42.55,52,16,16,1.17
EQ5-I2,Pers,F,16,24,0.3,3.6,0.5,1.8,86.51,48.72,52,4,16,1.13
